Date (LT),Hour,NowCast Conc.,Raw Conc.,Conc. Unit,AQI,AQI Category,QC Name
04/01/2022 10:00,10,192.7,206,ug/m3,243,Very Unhealthy,Valid
04/01/2022 11:00,11,200.7,227,ug/m3,251,Very Unhealthy,Valid
04/01/2022 12:00,12,204.4,218,ug/m3,254,Very Unhealthy,Valid
04/01/2022 13:00,13,203.2,199,ug/m3,253,Very Unhealthy,Valid
04/01/2022 14:00,14,199.8,189,ug/m3,250,Very Unhealthy,Valid
04/01/2022 15:00,15,182.5,149,ug/m3,233,Very Unhealthy,Valid
04/01/2022 16:00,16,138.7,104,ug/m3,194,Unhealthy,Valid
04/01/2022 17:00,17,128.8,119,ug/m3,189,Unhealthy,Valid
04/01/2022 18:00,18,160.4,192,ug/m3,211,Very Unhealthy,Valid
04/01/2022 19:00,19,177.7,195,ug/m3,228,Very Unhealthy,Valid
04/01/2022 20:00,20,197.3,217,ug/m3,247,Very Unhealthy,Valid
04/01/2022 21:00,21,215.6,234,ug/m3,266,Very Unhealthy,Valid
04/01/2022 22:00,22,216.3,217,ug/m3,266,Very Unhealthy,Valid
04/01/2022 23:00,23,213.1,210,ug/m3,263,Very Unhealthy,Valid
05/01/2022 00:00,0,227,241,ug/m3,277,Very Unhealthy,Valid
05/01/2022 01:00,1,228.5,230,ug/m3,278,Very Unhealthy,Valid
05/01/2022 02:00,2,218.2,208,ug/m3,268,Very Unhealthy,Valid
05/01/2022 03:00,3,207.6,197,ug/m3,258,Very Unhealthy,Valid
05/01/2022 04:00,4,208.8,210,ug/m3,259,Very Unhealthy,Valid
05/01/2022 05:00,5,208,190,ug/m3,258,Very Unhealthy,Valid
05/01/2022 06:00,6,203.7,189,ug/m3,254,Very Unhealthy,Valid
05/01/2022 07:00,7,202.1,196,ug/m3,252,Very Unhealthy,Valid
05/01/2022 08:00,8,203.4,209,ug/m3,253,Very Unhealthy,Valid
05/01/2022 09:00,9,201.4,196,ug/m3,251,Very Unhealthy,Valid
05/01/2022 10:00,10,210.5,242,ug/m3,260,Very Unhealthy,Valid
05/01/2022 11:00,11,215.5,232,ug/m3,265,Very Unhealthy,Valid
05/01/2022 12:00,12,222.5,245,ug/m3,272,Very Unhealthy,Valid
05/01/2022 13:00,13,235.7,262,ug/m3,285,Very Unhealthy,Valid
05/01/2022 14:00,14,217.6,174,ug/m3,267,Very Unhealthy,Valid
05/01/2022 15:00,15,216.7,215,ug/m3,267,Very Unhealthy,Valid
05/01/2022 16:00,16,212.1,203,ug/m3,262,Very Unhealthy,Valid
05/01/2022 17:00,17,201.3,180,ug/m3,251,Very Unhealthy,Valid
05/01/2022 18:00,18,188.6,168,ug/m3,239,Very Unhealthy,Valid
05/01/2022 19:00,19,187.6,186,ug/m3,238,Very Unhealthy,Valid
05/01/2022 20:00,20,191.7,199,ug/m3,242,Very Unhealthy,Valid
05/01/2022 21:00,21,197.2,207,ug/m3,247,Very Unhealthy,Valid
05/01/2022 22:00,22,199.2,203,ug/m3,249,Very Unhealthy,Valid
05/01/2022 23:00,23,199.4,200,ug/m3,249,Very Unhealthy,Valid
06/01/2022 00:00,0,204.2,213,ug/m3,254,Very Unhealthy,Valid
06/01/2022 01:00,1,201.4,204,ug/m3,251,Very Unhealthy,Valid
06/01/2022 02:00,2,203.7,210,ug/m3,254,Very Unhealthy,Valid
06/01/2022 03:00,3,203.5,204,ug/m3,254,Very Unhealthy,Valid
06/01/2022 04:00,4,203.1,202,ug/m3,253,Very Unhealthy,Valid
06/01/2022 05:00,5,201.4,194,ug/m3,251,Very Unhealthy,Valid
06/01/2022 06:00,6,200,188,ug/m3,250,Very Unhealthy,Valid
06/01/2022 07:00,7,197.9,185,ug/m3,248,Very Unhealthy,Valid
06/01/2022 08:00,8,200,211,ug/m3,250,Very Unhealthy,Valid
06/01/2022 09:00,9,200.6,205,ug/m3,251,Very Unhealthy,Valid
06/01/2022 10:00,10,204,220,ug/m3,254,Very Unhealthy,Valid
06/01/2022 11:00,11,205.9,214,ug/m3,256,Very Unhealthy,Valid
06/01/2022 12:00,12,182,136,ug/m3,232,Very Unhealthy,Valid
06/01/2022 13:00,13,167.8,145,ug/m3,218,Very Unhealthy,Valid
06/01/2022 14:00,14,133.8,108,ug/m3,191,Unhealthy,Valid
06/01/2022 15:00,15,130.3,127,ug/m3,190,Unhealthy,Valid
06/01/2022 16:00,16,126.6,123,ug/m3,188,Unhealthy,Valid
06/01/2022 17:00,17,120.3,114,ug/m3,184,Unhealthy,Valid
06/01/2022 18:00,18,132.1,144,ug/m3,191,Unhealthy,Valid
06/01/2022 19:00,19,145,158,ug/m3,197,Unhealthy,Valid
06/01/2022 20:00,20,180,215,ug/m3,230,Very Unhealthy,Valid
06/01/2022 21:00,21,208.5,237,ug/m3,258,Very Unhealthy,Valid
06/01/2022 22:00,22,217.7,227,ug/m3,268,Very Unhealthy,Valid
06/01/2022 23:00,23,218.3,219,ug/m3,268,Very Unhealthy,Valid
07/01/2022 00:00,0,216.2,214,ug/m3,266,Very Unhealthy,Valid
07/01/2022 01:00,1,210.6,205,ug/m3,261,Very Unhealthy,Valid
07/01/2022 02:00,2,199.3,188,ug/m3,249,Very Unhealthy,Valid
07/01/2022 03:00,3,190.6,182,ug/m3,241,Very Unhealthy,Valid
07/01/2022 04:00,4,187.8,185,ug/m3,238,Very Unhealthy,Valid
07/01/2022 05:00,5,186.4,180,ug/m3,237,Very Unhealthy,Valid
07/01/2022 06:00,6,189.9,193,ug/m3,240,Very Unhealthy,Valid
07/01/2022 07:00,7,192.7,193,ug/m3,243,Very Unhealthy,Valid
07/01/2022 08:00,8,195.6,205,ug/m3,246,Very Unhealthy,Valid
07/01/2022 09:00,9,195.6,197,ug/m3,246,Very Unhealthy,Valid
07/01/2022 10:00,10,192.8,184,ug/m3,243,Very Unhealthy,Valid
