"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2020-06-30 01:00:00",-0.47,4.93,3.45
"2020-06-30 02:00:00",-0.67,3.38,2.17
"2020-06-30 03:00:00",-0.72,5.57,3.18
"2020-06-30 04:00:00",-0.15,6.57,3.83
"2020-06-30 05:00:00",0.02,6.59,3.82
"2020-06-30 06:00:00",1.72,10.73,5.18
"2020-06-30 07:00:00",5.68,14.86,6.7
"2020-06-30 08:00:00",8.44,12.63,6.24
"2020-06-30 09:00:00",6.56,13.49,6.67
"2020-06-30 09:01:00",,,
"2020-06-30 10:01:00",,,
"2020-06-30 12:00:00",5.17,9.63,5.7
"2020-06-30 13:00:00",4.24,9.63,5.58
"2020-06-30 14:00:00",3.11,10.32,5.62
"2020-06-30 15:00:00",6.06,11.78,6.25
"2020-06-30 16:00:00",7.08,13.51,7.19
"2020-06-30 17:00:00",7.53,11.25,6.13
"2020-06-30 18:00:00",15.41,9.3,4.95
"2020-06-30 19:00:00",18.36,6.31,3.15
"2020-06-30 20:00:00",11.97,5.62,3.24
"2020-06-30 21:00:00",12.38,6.3,3.8
"2020-06-30 22:00:00",18.18,6.78,4.69
"2020-06-30 23:00:00",24,8.34,5.71
"2020-07-01 00:00:00",13.9,6.36,4.74
"2020-07-01 01:00:00",16.81,5.94,4.72
"2020-07-01 02:00:00",13.83,6.23,4.79
"2020-07-01 03:00:00",17.4,5.99,5.08
"2020-07-01 04:00:00",13.01,5.88,5.06
"2020-07-01 05:00:00",11.73,8.66,7.27
"2020-07-01 06:00:00",5.46,6.61,5.89
"2020-07-01 07:00:00",10.37,5.34,4.23
"2020-07-01 08:00:00",22.68,9.47,7.38
"2020-07-01 09:00:00",25.28,9.93,7.15
"2020-07-01 10:00:00",17.19,7.75,5.66
"2020-07-01 11:00:00",11.85,6.85,5.13
"2020-07-01 12:00:00",13.69,6.89,5.28
"2020-07-01 13:00:00",19.31,8.66,6.31
"2020-07-01 14:00:00",18.27,10.55,7.82
"2020-07-01 15:00:00",9.11,6.62,4.74
"2020-07-01 16:00:00",9.9,6.81,5.06
"2020-07-01 17:00:00",16.08,7.98,5.42
"2020-07-01 18:00:00",26.29,8.35,5.65
"2020-07-01 19:00:00",21.83,7.59,5.18
"2020-07-01 20:00:00",22.76,6.38,4.95
"2020-07-01 21:00:00",25.01,6.58,5.38
"2020-07-01 22:00:00",34.9,7.82,6.17
"2020-07-01 23:00:00",26.03,7.93,6.17
"2020-07-02 00:00:00",10.82,5.28,3.89
"2020-07-02 01:00:00",5.85,5.51,4.12
"2020-07-02 02:00:00",2.74,5.27,3.41
"2020-07-02 03:00:00",5.08,6.04,4.15
"2020-07-02 04:00:00",4.17,8.29,4.46
"2020-07-02 05:00:00",2.78,7.45,3.61
"2020-07-02 06:00:00",5.02,8.14,3.36
"2020-07-02 07:00:00",7.61,8.19,3.96
"2020-07-02 08:00:00",7.84,8.96,4.56
"2020-07-02 09:00:00",5.35,10.19,4.57
"2020-07-02 10:00:00",4.59,8.88,4.47
"2020-07-02 11:00:00",2.56,8.03,3.77
"2020-07-02 12:00:00",3.09,6.29,3.31
"2020-07-02 13:00:00",3.08,7.19,3.41
"2020-07-02 14:00:00",4.02,8.04,3.46
"2020-07-02 15:00:00",2.55,8.78,3.25
"2020-07-02 16:00:00",1.11,5.79,2.72
"2020-07-02 17:00:00",2.84,7.44,3.24
"2020-07-02 18:00:00",3.22,7.65,3.59
"2020-07-02 19:00:00",4.33,7.83,3.72
"2020-07-02 20:00:00",3.83,7.92,3.92
"2020-07-02 21:00:00",4.26,7.74,3.72
"2020-07-02 22:00:00",10.26,8.08,4
"2020-07-02 23:00:00",10.3,7.86,4.36
"2020-07-03 00:00:00",9.9,7.17,3.6
"2020-07-03 01:00:00",5.31,6.35,2.94
"2020-07-03 02:00:00",1,4.12,2.5
"2020-07-03 03:00:00",2.18,4.01,2.52
"2020-07-03 04:00:00",-0.53,3.98,2.22
"2020-07-03 05:00:00",-0.47,3.49,2.02
"2020-07-03 06:00:00",0.03,5.77,3.12
"2020-07-03 07:00:00",3.46,6.49,3.66
"2020-07-03 08:00:00",5.76,7.27,3.92
"2020-07-03 09:00:00",6.25,5.7,3.13
"2020-07-03 10:00:00",5.13,4.31,2.04
"2020-07-03 11:00:00",4.16,2.9,1.17
"2020-07-03 12:00:00",3.71,2.74,1.04
"2020-07-03 13:00:00",4.58,3.81,1.82
"2020-07-03 14:00:00",7.09,2.73,1.33
"2020-07-03 15:00:00",5,2.76,1.74
"2020-07-03 16:00:00",4.02,3.91,2.21
"2020-07-03 17:00:00",4.36,5.57,3.77
"2020-07-03 18:00:00",4.65,4.05,2.62
"2020-07-03 19:00:00",2.48,4.3,2.68
"2020-07-03 20:00:00",2.04,3.59,2.36
"2020-07-03 21:00:00",2.53,4.4,2.84
"2020-07-03 22:00:00",3.92,3.4,2.15
"2020-07-03 23:00:00",1.93,3.66,2.13
"2020-07-04 00:00:00",1.82,3.21,1.79
"2020-07-04 01:00:00",1.1,4.89,2.61
"2020-07-04 02:00:00",0.57,4.47,1.64
"2020-07-04 03:00:00",0.2,3.29,1.16
"2020-07-04 04:00:00",-0.22,2.88,0.93
"2020-07-04 05:00:00",-0.57,2.53,0.8
"2020-07-04 06:00:00",-0.28,2.28,0.59
"2020-07-04 07:00:00",1.39,2.08,0.62
"2020-07-04 08:00:00",4.67,2.59,0.85
