"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2021-02-04 00:00:00",5.21,11.37,6.97
"2021-02-04 01:00:00",2.49,8.17,5.25
"2021-02-04 02:00:00",2.16,6.31,4.11
"2021-02-04 03:00:00",0.98,4.46,2.87
"2021-02-04 04:00:00",0.81,3.3,2.14
"2021-02-04 05:00:00",0.71,2.96,2.05
"2021-02-04 06:00:00",2.2,2.53,1.64
"2021-02-04 07:00:00",7.28,2.13,1.2
"2021-02-04 08:00:00",13.51,3.39,1.59
"2021-02-04 09:00:00",14.76,4.12,2.1
"2021-02-04 10:00:00",15.01,7.79,5.31
"2021-02-04 11:00:00",19.91,7.36,4.67
"2021-02-04 12:00:00",19.28,4.56,2.32
"2021-02-04 13:00:00",23.42,9.81,5.32
"2021-02-04 14:00:00",20.6,6.3,3.08
"2021-02-04 15:00:00",13.22,4.66,2.21
"2021-02-04 16:00:00",24.98,9.57,5.02
"2021-02-04 17:00:00",39.9,12.15,7.47
"2021-02-04 18:00:00",40.31,14.44,11.3
"2021-02-04 19:00:00",34.79,17.74,14.45
"2021-02-04 20:00:00",43.55,21.78,16.35
"2021-02-04 21:00:00",26.87,13.64,9.66
"2021-02-04 22:00:00",16.34,9.41,8.03
"2021-02-04 23:00:00",10.91,6.31,5.7
"2021-02-05 00:00:00",14.47,7.56,6.88
"2021-02-05 01:00:00",6.25,8.96,8.29
"2021-02-05 02:00:00",3.36,8.42,7.76
"2021-02-05 03:00:00",4.05,6.48,5.68
"2021-02-05 04:00:00",3.59,5.87,5.38
"2021-02-05 05:00:00",5.81,5.25,4.25
"2021-02-05 06:00:00",10.39,4.27,3.36
"2021-02-05 07:00:00",13.5,4.41,3.26
"2021-02-05 08:00:00",14.71,3.92,2.79
"2021-02-05 09:00:00",15.63,3.86,2.89
"2021-02-05 10:00:00",13.98,3.5,2.91
"2021-02-05 11:00:00",10.32,5.22,4.05
"2021-02-05 12:00:00",8.94,7.3,5.84
"2021-02-05 13:00:00",11.72,6.33,4.86
"2021-02-05 14:00:00",14.62,4.67,3.9
"2021-02-05 15:00:00",19.43,5.28,4.79
"2021-02-05 16:00:00",23.26,6.9,4.87
"2021-02-05 17:00:00",28.36,13.06,8.48
"2021-02-05 18:00:00",48.21,16.65,12.21
"2021-02-05 19:00:00",58.21,36.24,34.13
"2021-02-05 20:00:00",58.24,49.31,47.27
"2021-02-05 21:00:00",55.78,55.98,48.37
"2021-02-05 22:00:00",47.52,41.49,38.88
"2021-02-05 23:00:00",40.45,28.72,27.02
"2021-02-06 00:00:00",36.3,31.99,29.93
"2021-02-06 01:00:00",33.04,31.33,28.83
"2021-02-06 02:00:00",18.4,17.1,14.9
"2021-02-06 03:00:00",7.02,5.61,4.19
"2021-02-06 04:00:00",4.93,5.6,4.03
"2021-02-06 05:00:00",6.4,10.55,7.99
"2021-02-06 06:00:00",5.67,13.02,9.5
"2021-02-06 07:00:00",7.66,13.85,7.59
"2021-02-06 08:00:00",8.68,10.24,6.02
"2021-02-06 09:00:00",10.54,7.44,4.68
"2021-02-06 10:00:00",13.23,9.44,5.24
"2021-02-06 11:00:00",13.28,8.36,3.95
"2021-02-06 12:00:00",11.92,9.76,5.14
"2021-02-06 13:00:00",11.62,9.7,5.53
"2021-02-06 14:00:00",9.77,7.3,4.35
"2021-02-06 15:00:00",15.43,9.37,6.39
"2021-02-06 16:00:00",15.03,12.05,8.6
"2021-02-06 17:00:00",13.72,11.16,7.78
"2021-02-06 18:00:00",16.06,12.85,8.96
"2021-02-06 19:00:00",15.26,11.05,8.16
"2021-02-06 20:00:00",14.73,12.18,8.43
"2021-02-06 21:00:00",12,12.41,8.64
"2021-02-06 22:00:00",10.71,10.39,7.11
"2021-02-06 23:00:00",9.59,10.89,6.24
"2021-02-07 00:00:00",7.46,8.93,4.67
"2021-02-07 01:00:00",4.74,9.15,4.6
"2021-02-07 02:00:00",4.28,8.66,4.19
"2021-02-07 03:00:00",5.21,7.55,3.57
"2021-02-07 04:00:00",2.37,7.34,3.57
"2021-02-07 05:00:00",3.46,9.66,4.85
"2021-02-07 06:00:00",8.38,12.88,6.84
"2021-02-07 07:00:00",9.93,11.19,6.02
"2021-02-07 08:00:00",16.61,10.46,5.42
"2021-02-07 09:00:00",16.98,9.87,4.84
"2021-02-07 10:00:00",7.2,10.57,5.72
"2021-02-07 11:00:00",11.34,18.54,9.29
"2021-02-07 12:00:00",10.04,18.86,9.62
"2021-02-07 13:00:00",11.18,18.15,9.62
"2021-02-07 14:00:00",10.04,15.1,7.74
"2021-02-07 15:00:00",11.18,13.01,7.52
"2021-02-07 16:00:00",9.78,12.83,7.61
"2021-02-07 17:00:00",8.56,12.49,7.53
"2021-02-07 18:00:00",12.54,12.44,7.15
"2021-02-07 19:00:00",13.86,15.77,8.96
"2021-02-07 20:00:00",11.33,16.75,9.62
"2021-02-07 21:00:00",12.55,15.26,8.76
"2021-02-07 22:00:00",8.96,15.03,8.63
"2021-02-07 23:00:00",7.55,15.97,8.62
"2021-02-08 00:00:00",6.42,14.39,7.85
"2021-02-08 01:00:00",6.45,15.39,7.67
"2021-02-08 02:00:00",5.32,14.8,7.33
"2021-02-08 03:00:00",5.26,14.47,7.22
"2021-02-08 04:00:00",4.45,13.98,6.83
"2021-02-08 05:00:00",5.23,12.62,6.21
"2021-02-08 06:00:00",13.08,12.26,5.92
"2021-02-08 07:00:00",12.39,10.57,4.64
"2021-02-08 08:00:00",17.3,9.49,4.02
"2021-02-08 09:00:00",16.9,10.12,4.88
"2021-02-08 10:00:00",17,11.52,5.31
"2021-02-08 11:00:00",14,11.15,5.64
"2021-02-08 12:00:00",15.34,11.3,5.89
"2021-02-08 13:00:00",12.27,11.96,6.01
"2021-02-08 14:00:00",12.39,12.37,6.75
"2021-02-08 15:00:00",9.86,12.91,7.46
"2021-02-08 16:00:00",9.77,11.9,6.23
"2021-02-08 17:00:00",12.67,13.77,8.2
"2021-02-08 18:00:00",18.4,13.39,9.23
"2021-02-08 19:00:00",12.23,10.85,7.59
"2021-02-08 20:00:00",11.16,11.94,8.12
"2021-02-08 21:00:00",9.66,12.36,8.33
"2021-02-08 22:00:00",7.91,10.82,6.99
"2021-02-08 23:00:00",6.51,9.27,5.73
"2021-02-09 00:00:00",6.08,9.27,5.19
"2021-02-09 01:00:00",8.71,8.4,4.53
"2021-02-09 02:00:00",2.46,8.17,4.31
"2021-02-09 03:00:00",4.38,9.3,4.52
"2021-02-09 04:00:00",2.36,8.17,3.96
"2021-02-09 05:00:00",2.17,8.04,4.16
"2021-02-09 06:00:00",3.65,7.93,4.03
"2021-02-09 07:00:00",5.8,7.58,4.01
"2021-02-09 08:00:00",12.4,9.62,4.63
"2021-02-09 09:00:00",19.43,10.99,5.56
"2021-02-09 10:00:00",18.13,9.25,5.13
"2021-02-09 11:00:00",20.09,9.56,5.45
"2021-02-09 12:00:00",19.3,11.6,6.04
"2021-02-09 13:00:00",18.68,12.37,7.1
"2021-02-09 14:00:00",15.05,9.18,5.33
"2021-02-09 15:00:00",19.19,12.81,7.87
"2021-02-09 16:00:00",21.83,10.91,6.19
"2021-02-09 17:00:00",13.81,8.87,5.73
"2021-02-09 18:00:00",13.68,10.47,7.09
"2021-02-09 19:00:00",12.8,12.77,8.21
"2021-02-09 20:00:00",16.19,10.89,6.87
"2021-02-09 21:00:00",13.39,12.69,7.02
"2021-02-09 22:00:00",14.77,10.28,5.78
"2021-02-09 23:00:00",10.93,10.36,5.42
"2021-02-10 00:00:00",10.26,9.07,5.04
"2021-02-10 01:00:00",7.19,7.55,4.82
"2021-02-10 02:00:00",8.73,6.99,4.09
"2021-02-10 03:00:00",7.4,7.22,3.48
"2021-02-10 04:00:00",4.97,7.89,3.57
"2021-02-10 05:00:00",1.83,7.21,3.21
"2021-02-10 06:00:00",4.55,6.75,3.11
"2021-02-10 07:00:00",7.49,7.65,3.38
"2021-02-10 08:00:00",18.05,6.14,2.9
"2021-02-10 09:00:00",19.14,5.69,2.85
"2021-02-10 10:00:00",18.99,8.62,4.16
"2021-02-10 11:00:00",14.47,8.74,4.1
"2021-02-10 12:00:00",15.33,10.4,4.98
"2021-02-10 13:00:00",16.53,13.52,7.48
"2021-02-10 14:00:00",15.2,10.03,4.61
"2021-02-10 15:00:00",14.92,10.32,5.8
