"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-06-04 00:00:00",3.41,10.96,5.98
"2022-06-04 01:00:00",3.46,12.89,6.57
"2022-06-04 02:00:00",3.8,15.21,7.83
"2022-06-04 03:00:00",5.29,16.8,8.73
"2022-06-04 04:00:00",6.22,16.67,8.82
"2022-06-04 05:00:00",2.88,17.07,9.75
"2022-06-04 06:00:00",3.15,16.73,9.8
"2022-06-04 07:00:00",4.18,14.23,8.82
"2022-06-04 08:00:00",3.68,12.98,8.25
"2022-06-04 09:00:00",4.36,11.51,7.54
"2022-06-04 10:00:00",6,11.14,7.05
"2022-06-04 11:00:00",3.1,12.71,7.06
"2022-06-04 12:00:00",4.37,11.46,7.15
"2022-06-04 13:00:00",3.66,11.31,7.46
"2022-06-04 14:00:00",3.54,11.78,7.69
"2022-06-04 15:00:00",3.67,12.29,7.49
"2022-06-04 16:00:00",3.67,11.39,7.17
"2022-06-04 17:00:00",3.94,10.85,7.03
"2022-06-04 18:00:00",3.39,10.96,7.03
"2022-06-04 19:00:00",4.42,11.4,7.47
"2022-06-04 20:00:00",4.53,12.7,8.29
"2022-06-04 21:00:00",5.84,13.97,9.05
"2022-06-04 22:00:00",7.69,15.25,9.68
"2022-06-04 23:00:00",5.73,15.38,9.91
"2022-06-05 00:00:00",6.37,15.99,10.29
"2022-06-05 01:00:00",9.61,16.66,10.78
"2022-06-05 02:00:00",9.81,18.45,11.61
"2022-06-05 03:00:00",7.37,19.04,13.02
"2022-06-05 04:00:00",9.94,21.29,13.84
"2022-06-05 05:00:00",9.33,21.66,14.32
"2022-06-05 06:00:00",7.06,20.69,14.24
"2022-06-05 07:00:00",5.5,22.02,14.93
"2022-06-05 08:00:00",5.66,21.8,14.38
"2022-06-05 09:00:00",5.25,16.2,11.59
"2022-06-05 10:00:00",5.36,16.95,12.56
"2022-06-05 11:00:00",6.95,14.06,11.12
"2022-06-05 12:00:00",8.76,15.86,12.32
"2022-06-05 13:00:00",7.03,13.13,10.2
"2022-06-05 14:00:00",7.43,12.86,9.74
"2022-06-05 15:00:00",8.42,13.98,11.07
"2022-06-05 16:00:00",9.28,14.98,11.92
"2022-06-05 17:00:00",9.59,12.03,9.88
"2022-06-05 18:00:00",10.32,9.26,7.74
"2022-06-05 19:00:00",10.56,8.02,6.64
"2022-06-05 20:00:00",9.98,10.04,8.4
"2022-06-05 21:00:00",8.8,11.89,9.32
"2022-06-05 22:00:00",7.58,12.8,9.89
"2022-06-05 23:00:00",11.89,14.01,10.91
"2022-06-06 00:00:00",8.79,12.55,9.5
"2022-06-06 01:00:00",7.73,11.94,9.27
"2022-06-06 02:00:00",5.58,10.82,8.4
"2022-06-06 03:00:00",2.44,9.67,7.14
"2022-06-06 04:00:00",3.43,8.61,6.21
"2022-06-06 05:00:00",5.38,8.73,6.17
"2022-06-06 06:00:00",4.53,8.8,6.06
"2022-06-06 07:00:00",8.92,9.02,6.29
"2022-06-06 08:00:00",10.76,8.2,5.72
"2022-06-06 09:00:00",10.31,6.39,4.78
"2022-06-06 10:00:00",17.37,6.26,4.83
"2022-06-06 11:00:00",7.35,6.21,4.67
"2022-06-06 12:00:00",5.33,6.2,4.49
"2022-06-06 13:00:00",8.22,5.83,4.41
"2022-06-06 14:00:00",5.22,4.54,3.68
"2022-06-06 15:00:00",5.34,4.07,3.01
"2022-06-06 16:00:00",5.37,3.86,2.9
"2022-06-06 17:00:00",5.59,3.39,2.7
"2022-06-06 18:00:00",8.64,3.66,2.96
"2022-06-06 19:00:00",14.01,4.61,3.39
"2022-06-06 20:00:00",10.43,5.26,4.14
"2022-06-06 21:00:00",10.21,5.35,4.21
"2022-06-06 22:00:00",9.87,6.09,4.66
"2022-06-06 23:00:00",8.46,6.5,5.67
"2022-06-07 00:00:00",11.82,8.94,7.32
"2022-06-07 01:00:00",10.95,8.87,7.87
"2022-06-07 02:00:00",10.68,8.65,7.58
"2022-06-07 03:00:00",10.78,8.58,7.07
"2022-06-07 04:00:00",12.14,7.3,5.72
"2022-06-07 05:00:00",18.01,8.6,6.91
"2022-06-07 06:00:00",19.99,9.03,6.59
"2022-06-07 07:00:00",24.42,10.25,7.17
"2022-06-07 08:00:00",21.35,10.4,7.65
"2022-06-07 09:00:00",11.47,7.45,5.97
"2022-06-07 10:00:00",8.46,8.57,6.45
"2022-06-07 11:00:00",9.66,10.68,7.39
"2022-06-07 12:00:00",10.24,11.25,7.62
"2022-06-07 13:00:00",9.13,10.38,7.25
"2022-06-07 14:00:00",11.09,10.72,7.25
"2022-06-07 15:00:00",9.14,11.51,7.32
"2022-06-07 16:00:00",8.03,9.45,6.19
"2022-06-07 17:00:00",7.54,7.27,4.55
"2022-06-07 18:00:00",12.15,6.23,4.12
"2022-06-07 19:00:00",14.24,6.78,4.61
"2022-06-07 20:00:00",11.35,7.01,4.8
"2022-06-07 21:00:00",9.02,7.19,5.55
"2022-06-07 22:00:00",10.03,7.09,5.78
"2022-06-07 23:00:00",13.38,4.64,3.6
"2022-06-08 00:00:00",2.96,1.83,1.07
"2022-06-08 01:00:00",2.1,1.01,0.62
"2022-06-08 02:00:00",2.86,0.82,0.52
"2022-06-08 03:00:00",3.62,1.74,0.97
"2022-06-08 04:00:00",1.89,2.62,1.31
"2022-06-08 05:00:00",1.49,5.15,2.25
"2022-06-08 06:00:00",3.06,4.96,2.39
"2022-06-08 07:00:00",7.04,5.86,2.57
"2022-06-08 08:00:00",8.09,5.41,2.44
"2022-06-08 09:00:00",10.35,4.76,2.27
"2022-06-08 10:00:00",6.28,4.47,2.44
"2022-06-08 11:00:00",5.15,5.27,2.68
"2022-06-08 12:00:00",4.31,5.96,2.31
"2022-06-08 13:00:00",3.3,7.78,2.37
"2022-06-08 14:00:00",3.78,10.85,4.41
"2022-06-08 15:00:00",4.15,7.54,3.78
"2022-06-08 16:00:00",3.78,9.94,4.67
"2022-06-08 17:00:00",3.98,10.95,4.66
