"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-01-04 00:00:00",3.2,7.6,4.09
"2022-01-04 01:00:00",4.08,10.11,5.36
"2022-01-04 02:00:00",1.52,9.36,5.19
"2022-01-04 03:00:00",1.36,10.76,5.45
"2022-01-04 04:00:00",0.76,8.83,4.53
"2022-01-04 05:00:00",1.67,9.34,4.69
"2022-01-04 06:00:00",4.5,7.19,4.07
"2022-01-04 07:00:00",13.99,7.24,4.24
"2022-01-04 08:00:00",28.03,8.76,5
"2022-01-04 09:00:00",23.9,9.74,5.6
"2022-01-04 10:00:00",19.67,11.7,6.5
"2022-01-04 11:00:00",18.75,13.69,8.43
"2022-01-04 12:00:00",13.69,13.16,7.65
"2022-01-04 13:00:00",11.69,14.09,8.46
"2022-01-04 14:00:00",9.57,14.85,8.71
"2022-01-04 15:00:00",12.96,13.45,7.7
"2022-01-04 16:00:00",18.6,15.75,9.55
"2022-01-04 17:00:00",20.66,15.95,10.64
"2022-01-04 18:00:00",24.35,15.7,12.06
"2022-01-04 19:00:00",20.38,17.73,13.91
"2022-01-04 20:00:00",23.23,16.97,12.84
"2022-01-04 21:00:00",21.38,14.12,10.59
"2022-01-04 22:00:00",17.94,15.09,11.27
"2022-01-04 23:00:00",14.91,14.25,10.65
"2022-01-05 00:00:00",14.49,12.99,9.3
"2022-01-05 01:00:00",13,12.19,8.44
"2022-01-05 02:00:00",11.91,13.01,8.75
"2022-01-05 03:00:00",10.64,12.56,8.45
"2022-01-05 04:00:00",19.55,11.3,7.55
"2022-01-05 05:00:00",23.5,10.71,6.96
"2022-01-05 06:00:00",21.93,10.44,6.57
"2022-01-05 07:00:00",12.46,9.76,5.83
"2022-01-05 08:00:00",25.83,9.87,5.59
"2022-01-05 09:00:00",23.64,10.46,6.07
"2022-01-05 10:00:00",21.83,12.52,7.62
"2022-01-05 11:00:00",20.39,13.49,8.35
"2022-01-05 12:00:00",19.33,13.39,7.47
"2022-01-05 13:00:00",16.52,15.58,10.06
"2022-01-05 14:00:00",21.3,17.73,12.03
"2022-01-05 15:00:00",30.4,19.71,13.65
"2022-01-05 16:00:00",50.07,32.5,23.66
"2022-01-05 17:00:00",59.49,29.97,21.77
"2022-01-05 18:00:00",63.56,33.32,23.85
"2022-01-05 19:00:00",68.94,46.52,38.81
"2022-01-05 20:00:00",71.26,60.49,48.65
"2022-01-05 21:00:00",59.79,43.87,31.11
"2022-01-05 22:00:00",37.23,26.39,19.9
"2022-01-05 23:00:00",19.85,13.51,8.08
"2022-01-06 00:00:00",20.68,12.18,7.21
"2022-01-06 01:00:00",13.45,10.18,6.91
"2022-01-06 02:00:00",4.82,6.45,3.35
"2022-01-06 03:00:00",3.36,5.77,3.15
"2022-01-06 04:00:00",3.04,6.09,2.86
"2022-01-06 05:00:00",3.02,8.89,3.4
"2022-01-06 06:00:00",5.79,8.18,3.9
"2022-01-06 07:00:00",7.96,6.95,3.17
"2022-01-06 08:00:00",13.57,3.78,2.12
"2022-01-06 09:00:00",12.85,4.3,1.82
"2022-01-06 10:00:00",11.79,2.88,1.21
"2022-01-06 11:00:00",10.48,3.01,1.26
"2022-01-06 12:00:00",10.45,9.18,4.77
"2022-01-06 13:00:00",8.35,12.3,6.44
"2022-01-06 14:00:00",6.19,8.19,5.15
"2022-01-06 15:00:00",9.02,6.25,4.3
"2022-01-06 16:00:00",11.35,6.7,4.06
"2022-01-06 17:00:00",12.59,8.5,5.4
"2022-01-06 18:00:00",11.1,5.79,4.12
"2022-01-06 19:00:00",11.42,9.17,6
"2022-01-06 20:00:00",6.93,6.05,4.48
"2022-01-06 21:00:00",7.65,4.11,3.42
"2022-01-06 22:00:00",4.63,4.33,3.47
"2022-01-06 23:00:00",3.59,5.26,3.55
"2022-01-07 00:00:00",1.95,3.47,2.53
"2022-01-07 01:00:00",1.56,3.76,2.67
"2022-01-07 02:00:00",0.77,2.89,1.74
"2022-01-07 03:00:00",0.64,2.34,1.51
"2022-01-07 04:00:00",0.66,2.55,1.63
"2022-01-07 05:00:00",1.46,3.57,2.34
"2022-01-07 06:00:00",2.67,2.64,1.71
"2022-01-07 07:00:00",8.71,3.66,2.17
"2022-01-07 08:00:00",16.51,4.67,2.8
"2022-01-07 09:00:00",15.62,7.01,3.59
"2022-01-07 10:00:00",12.11,7.93,4.24
"2022-01-07 11:00:00",11.86,6.24,4.13
"2022-01-07 12:00:00",22.94,3.18,2.44
"2022-01-07 13:00:00",26.6,3.17,2.34
"2022-01-07 14:00:00",18.42,3.26,2.5
"2022-01-07 15:00:00",20.2,7.25,6.22
"2022-01-07 16:00:00",31.06,9.7,8.77
"2022-01-07 17:00:00",34.23,12.3,10.3
"2022-01-07 18:00:00",25.75,11.97,10.23
"2022-01-07 19:00:00",17.89,11.38,9.09
"2022-01-07 20:00:00",15.38,11.83,8.99
"2022-01-07 21:00:00",16.01,14.42,9.88
"2022-01-07 22:00:00",14.72,12.84,9.95
"2022-01-07 23:00:00",8.34,13.31,9.17
"2022-01-08 00:00:00",4.95,18.56,11.36
"2022-01-08 01:00:00",3.71,12.41,8.44
"2022-01-08 02:00:00",2.32,10.64,6.94
"2022-01-08 03:00:00",1.74,7,4.69
"2022-01-08 04:00:00",3.03,3.82,2.72
"2022-01-08 05:00:00",1.15,2.02,1.34
"2022-01-08 06:00:00",1.6,0.92,0.54
"2022-01-08 07:00:00",2.43,0.8,0.38
